date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:loss of smell,symptom:loss of taste,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting,symptom:combined,daily_new_positives
2021-07-30,0,0,5,6,5,12,17,14,0,1,0,0,7,3,5,6,46.26,3050
2021-07-31,0,0,1,1,1,4,6,9,0,0,2,0,1,2,0,2,17.44,2516
2021-08-01,0,0,3,5,1,7,7,2,1,1,0,1,7,4,1,5,23.4,2143
2021-08-02,0,0,4,9,8,12,13,12,2,1,0,0,4,8,2,3,45.15,2932
2021-08-03,0,0,3,2,4,13,28,9,3,0,0,0,3,2,1,3,43.81000000000001,3115
2021-08-04,0,0,3,10,6,19,18,14,5,4,0,0,3,4,7,3,53.50000000000001,3644
2021-08-05,0,0,8,17,3,26,15,6,0,0,0,0,4,9,3,5,60.46,3700
2021-08-06,0,0,3,12,3,9,14,5,0,2,0,0,2,4,3,3,37.39,4385
2021-08-07,0,0,0,5,4,6,14,2,0,0,0,0,0,1,0,0,22.39,3467
2021-08-08,0,0,0,1,0,8,12,1,0,0,0,0,2,1,0,4,17.76,3615
2021-08-09,0,0,3,9,1,11,15,13,1,3,1,1,10,5,4,8,45.940000000000005,3222
2021-08-10,0,0,6,4,7,10,23,14,1,3,3,2,13,3,4,12,54.04000000000002,4150
2021-08-11,0,0,7,4,5,10,17,13,0,0,1,0,8,2,2,11,43.86000000000001,4701
2021-08-12,0,0,8,7,4,16,14,9,2,3,0,0,4,3,4,1,43.67000000000001,4591
2021-08-13,0,0,1,8,0,11,9,4,0,0,0,0,4,2,2,0,27.03,4474
2021-08-14,0,0,1,6,2,5,7,3,0,1,0,0,1,2,1,1,18.91,4479
2021-08-15,0,0,1,4,1,4,5,2,0,1,0,0,0,1,0,2,12.860000000000001,3575
2021-08-16,0,0,5,6,1,19,18,11,4,2,0,0,0,3,3,1,44.28,3567
2021-08-17,0,0,6,12,5,23,10,9,1,3,0,0,3,10,2,3,51.24,4737
2021-08-18,0,0,5,15,4,22,19,7,0,0,0,0,1,0,2,5,52.03000000000001,5138
2021-08-19,0,0,4,7,3,11,21,11,0,0,0,0,3,3,4,3,44.370000000000005,4832
2021-08-20,0,0,1,2,1,14,12,8,1,1,1,3,3,2,1,0,29.18,4990
2021-08-21,0,0,2,6,3,4,8,2,0,1,0,0,4,4,1,3,21.93,4340
2021-08-22,0,0,1,4,1,10,6,1,0,0,0,0,2,4,2,1,19.849999999999998,3816
2021-08-23,0,0,14,13,2,24,20,16,0,1,0,0,10,2,8,8,69.60000000000002,3199
2021-08-24,0,0,4,8,4,17,16,8,0,1,0,0,5,0,4,9,43.290000000000006,4272
2021-08-25,0,0,5,10,12,9,28,12,0,6,0,0,15,6,6,13,63.78,5407
2021-08-26,0,0,2,9,7,14,15,12,0,1,4,0,3,3,3,7,46.60000000000001,6348
2021-08-27,0,0,4,10,7,12,19,12,1,6,3,3,10,6,2,6,53.89,5524
2021-08-28,0,0,2,3,1,9,4,8,1,2,0,0,1,2,0,1,19.27,4246
2021-08-29,0,0,1,2,1,1,5,2,0,1,0,0,1,0,0,0,8.83,4147
2021-08-30,0,0,3,5,10,7,13,9,3,2,1,0,12,6,1,14,40.29,3789
2021-08-31,0,1,1,5,5,9,11,2,0,1,0,0,3,2,4,10,27.55,4612
2021-09-01,0,0,4,8,2,15,19,13,1,2,0,0,9,3,3,8,49.18000000000001,4943
2021-09-02,0,0,10,5,5,18,10,7,3,1,0,0,8,1,1,10,40.67999999999999,6010
2021-09-03,0,0,0,9,9,11,23,6,4,2,0,0,4,2,3,6,44.22,5030
2021-09-04,0,0,4,3,3,10,4,2,0,1,0,1,4,2,1,5,20.41,4495
2021-09-05,2,2,0,4,1,5,6,2,2,2,0,0,3,0,0,5,15.290000000000001,3660
2021-09-06,2,2,6,4,2,9,9,5,2,3,0,1,7,2,11,8,33.49,3322
2021-09-07,0,0,5,4,4,7,12,8,0,3,0,0,5,4,2,5,32.120000000000005,3851
2021-09-08,0,0,3,6,4,15,9,6,0,3,0,0,4,4,3,4,33.85,5402
2021-09-09,0,0,4,8,1,15,22,5,6,1,3,0,3,1,0,4,43.470000000000006,6151
2021-09-10,0,0,4,10,2,14,17,8,0,1,1,3,6,10,5,5,49.99999999999999,5768
2021-09-11,0,0,2,2,0,6,3,4,0,0,0,0,0,1,1,0,12.39,5447
2021-09-12,0,0,1,3,1,8,10,8,2,0,1,0,1,5,1,2,25.69,3686
2021-09-13,0,0,6,5,3,18,14,9,0,2,4,0,2,3,11,8,47.14,4098
2021-09-14,0,0,7,6,3,13,19,7,0,1,1,0,2,2,2,3,41.620000000000005,4852
2021-09-15,0,0,3,4,1,25,11,4,0,2,1,0,5,5,0,5,38.120000000000005,6729
2021-09-16,0,0,6,7,2,7,9,5,2,2,0,0,5,5,2,2,30.520000000000003,5781
2021-09-17,0,0,10,14,1,16,15,13,3,5,1,0,6,1,3,4,52.99000000000001,5368
2021-09-18,0,0,1,2,0,4,10,2,0,0,1,0,4,2,0,4,17.62,5275
2021-09-19,0,2,2,3,2,4,11,5,1,0,1,0,3,1,1,3,22.18,3432
2021-09-20,0,1,9,11,1,9,33,10,0,4,0,0,3,4,4,0,58.27000000000001,5242
2021-09-21,0,0,4,4,9,6,28,6,0,1,1,0,3,2,3,7,43.86000000000001,4673
2021-09-22,0,0,5,8,4,10,13,8,0,0,1,0,2,5,1,2,37.53,4814
2021-09-23,0,0,2,8,11,26,16,8,3,1,1,1,6,3,4,12,53.44000000000001,6070
2021-09-24,0,0,5,5,1,13,7,1,0,1,1,0,7,1,1,0,25.959999999999997,5288
2021-09-25,0,1,6,4,4,5,6,5,0,3,0,2,7,3,3,5,25.849999999999998,4314
2021-09-26,0,0,1,4,2,15,3,3,0,0,0,0,1,0,4,0,20.160000000000004,4004
2021-09-27,0,0,12,8,3,23,12,12,0,4,0,0,7,5,4,3,53.580000000000005,4114
2021-09-28,0,0,9,6,11,12,26,17,1,1,0,0,9,3,5,12,61.49,5137
2021-09-29,0,0,7,5,4,12,15,14,4,1,2,0,3,3,4,4,43.940000000000005,4744
2021-09-30,0,0,12,6,5,20,21,14,1,1,0,0,7,2,1,3,56.269999999999996,5187
2021-10-01,0,0,10,4,0,15,16,12,0,0,1,0,9,8,0,4,47.610000000000014,4701
2021-10-02,0,0,1,5,0,3,6,3,0,0,0,0,1,0,0,1,13.73,4584
2021-10-03,0,0,0,0,1,2,5,2,0,0,1,0,0,0,0,1,7.56,2896
2021-10-04,0,0,5,12,5,13,18,18,0,6,1,1,12,6,4,7,58.95,3877
2021-10-05,0,0,1,9,3,8,9,11,0,4,0,0,1,6,3,6,33.72,5672
2021-10-06,0,0,5,4,0,14,10,4,1,0,0,0,1,2,0,4,27.55,5243
2021-10-07,0,0,8,11,0,21,24,6,0,0,0,0,0,5,1,2,53.550000000000004,5654
